amount,claim_type,days_since_policy_start,has_witnesses,prior_claims_count,description,is_fraud
2452.14,AUTO,784,1,0,Front-end collision when the other driver ran a red light at Oak Ave; police report filed.,0
639.07,HEALTH,337,1,1,"Kitchen fire started from an unattended pan, contained by smoke detector and extinguisher.",0
3829.35,HEALTH,491,1,2,"Pipe burst in basement; water damage to flooring and stored items, plumber invoice attached.",0
4631.17,HEALTH,136,1,3,"Side-swipe accident on highway; dashcam footage available, other driver's insurance contacted.",0
256.97,AUTO,75,1,1,"Deer collision on the highway near exit 28; airbag deployed, vehicle towed.",0
491.68,HEALTH,190,1,2,Lightning strike damaged HVAC unit on April 3; technician assessment attached.,0
2054.61,AUTO,566,0,0,"Side-swipe accident on highway; dashcam footage available, other driver's insurance contacted.",0
1317.85,PROPERTY,246,0,0,"Burglary while on vacation; entry through the back window, electronics and jewellery taken, police report #PR-70913.",0
1777.92,LIFE,347,1,3,Tree branch fell during the storm on June 24 and dented the roof above the garage.,0
770.44,AUTO,453,0,0,"Bicycle accident; broken collarbone, treated at St. Luke's, X-rays and follow-up scheduled.",0
4356.39,AUTO,437,1,1,"Slipped on icy steps at the front entrance; sprained ankle, ER visit at St. Luke's.",0
3935.49,AUTO,17,1,0,"Burglary while on vacation; entry through the back window, electronics and jewellery taken, police report #PR-55656.",0
1931.46,HEALTH,176,1,0,Tree branch fell during the storm on April 3 and dented the roof above the garage.,0
5581.66,PROPERTY,1425,0,0,"Kitchen fire started from an unattended pan, contained by smoke detector and extinguisher.",0
2885.66,HEALTH,1002,1,0,Backyard fence damaged by neighbour's tree falling during high winds on August 11.,0
765.64,AUTO,186,0,1,"Vehicle disappeared from parking lot, no security camera footage.",1
2614.3,AUTO,426,1,1,"Vehicle stolen, no GPS data, no security footage available.",1
693.06,AUTO,575,1,1,Tree branch fell during the storm on May 18 and dented the roof above the garage.,0
4352.26,PROPERTY,1358,1,1,Rear-end collision at the intersection of Elm Blvd and Walnut Rd; minor whiplash and bumper damage.,0
1719.99,HEALTH,1319,1,0,"Side-swipe accident on highway; dashcam footage available, other driver's insurance contacted.",0
1502.88,HEALTH,1155,1,0,"Bicycle accident; broken collarbone, treated at St. Luke's, X-rays and follow-up scheduled.",0
915.13,AUTO,160,0,0,Tree branch fell during the storm on August 11 and dented the roof above the garage.,0
6139.76,PROPERTY,736,0,0,"House contents destroyed, fire of unknown origin, no smoke alarm activated.",0
1549.16,AUTO,725,1,0,Tree branch fell during the storm on August 11 and dented the roof above the garage.,0
1178.12,PROPERTY,956,1,0,Tree branch fell during the storm on March 12 and dented the roof above the garage.,0
1271.39,PROPERTY,1267,0,1,Hailstorm on August 11 caused dents on the hood and cracked the windshield.,0
3078.84,HEALTH,482,0,0,Backyard fence damaged by neighbour's tree falling during high winds on April 3.,0
2605.67,PROPERTY,835,0,0,Water damage in the kitchen ceiling from a burst pipe in the upstairs bathroom on June 24.,0
2731.85,AUTO,396,1,0,"Kitchen fire started from an unattended pan, contained by smoke detector and extinguisher.",0
2781.71,HEALTH,316,0,0,"Lost expensive jewellery, no receipt, not sure when.",1
15392.68,AUTO,470,1,1,"Deer collision on the highway near exit 84; airbag deployed, vehicle towed.",0
1204.22,HEALTH,1103,0,0,Rear-end collision at the intersection of Main St and Walnut Rd; minor whiplash and bumper damage.,0
1083.29,AUTO,657,1,0,"Pipe burst in basement; water damage to flooring and stored items, plumber invoice attached.",0
801.29,AUTO,1022,0,0,"Bicycle accident; broken collarbone, treated at City General, X-rays and follow-up scheduled.",0
3347.53,AUTO,1037,1,1,Front-end collision when the other driver ran a red light at 5th Ave; police report filed.,0
5591.33,AUTO,543,0,1,Hailstorm on May 18 caused dents on the hood and cracked the windshield.,0
1613.32,HEALTH,1432,1,1,"Bicycle accident; broken collarbone, treated at City General, X-rays and follow-up scheduled.",0
780.43,HEALTH,70,1,1,"Pipe burst in basement; water damage to flooring and stored items, plumber invoice attached.",0
792.76,AUTO,1345,0,0,Hailstorm on August 11 caused dents on the hood and cracked the windshield.,0
3465.43,LIFE,12,1,1,Water damage in the kitchen ceiling from a burst pipe in the upstairs bathroom on March 12.,0
3801.89,PROPERTY,574,0,0,Water damage in the kitchen ceiling from a burst pipe in the upstairs bathroom on March 12.,0
3112.42,AUTO,1238,1,0,Lightning strike damaged HVAC unit on April 3; technician assessment attached.,0
929.35,HEALTH,1026,1,0,Rear-end collision at the intersection of Pine Rd and Cedar Lane; minor whiplash and bumper damage.,0
2280.53,HEALTH,483,0,1,"Minor parking lot collision at Home Depot; both drivers exchanged details, insurance info noted.",0
2031.82,PROPERTY,1328,1,0,"Slipped on icy steps at the front entrance; sprained ankle, ER visit at City General.",0
2250.01,AUTO,207,0,0,"Sudden mechanical failure, vehicle written off, no third party.",1
4321.81,PROPERTY,1006,1,1,Lightning strike damaged HVAC unit on May 18; technician assessment attached.,0
2261.07,AUTO,778,1,0,Rear-end collision at the intersection of Main St and Cedar Lane; minor whiplash and bumper damage.,0
3564.98,AUTO,311,1,1,Front-end collision when the other driver ran a red light at Elm Blvd; police report filed.,0
1934.45,PROPERTY,1381,0,1,Rear-end collision at the intersection of Elm Blvd and Cedar Lane; minor whiplash and bumper damage.,0
2414.19,HEALTH,1148,1,0,Hailstorm on June 24 caused dents on the hood and cracked the windshield.,0
3399.18,PROPERTY,13,0,2,"Property damage but no witnesses, claim is for full replacement value.",0
421.09,AUTO,131,1,0,"Burglary while on vacation; entry through the back window, electronics and jewellery taken, police report #PR-61765.",0
1313.34,AUTO,85,0,1,Lightning strike damaged HVAC unit on August 11; technician assessment attached.,0
1129.61,AUTO,623,0,0,Hailstorm on June 24 caused dents on the hood and cracked the windshield.,0
954.44,AUTO,626,0,0,Front-end collision when the other driver ran a red light at 5th Ave; police report filed.,0
1373.14,AUTO,1086,1,2,Front-end collision when the other driver ran a red light at Oak Ave; police report filed.,0
8062.2,HEALTH,1014,0,0,"Kitchen fire started from an unattended pan, contained by smoke detector and extinguisher.",0
760.65,HEALTH,23,1,1,"Total loss, no documentation available.",1
4761.31,HEALTH,714,1,1,"Vehicle disappeared from parking lot, no security camera footage.",1
336.01,AUTO,1177,0,0,Front-end collision when the other driver ran a red light at Elm Blvd; police report filed.,0
1293.51,AUTO,1346,0,0,"Items missing after recent move, exact value uncertain.",0
2127.61,HEALTH,438,0,0,Rear-end collision at the intersection of 5th Ave and Birch St; minor whiplash and bumper damage.,0
3249.39,AUTO,67,0,0,Backyard fence damaged by neighbour's tree falling during high winds on June 24.,0
3682.06,PROPERTY,230,1,1,"Items stolen, no witnesses, cash and electronics gone.",1
3997.19,AUTO,510,1,1,"Pipe burst in basement; water damage to flooring and stored items, plumber invoice attached.",0
1275.73,HEALTH,665,0,0,Backyard fence damaged by neighbour's tree falling during high winds on June 24.,0
